Branch_id,Branch_name,Location,Contact,Email,room_id,start_date,end_date,is_current
1,Downtown Branch,Cairo - Tahrir Square,2.01014E+11,unknown,0,2025-11-15,,1
2,Luxor Nile Branch,Luxor - Nile Corniche,2.01049E+11,user2@example.com,287,2025-11-15,,1
3,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01072E+11,unknown,0,2025-11-15,,1
4,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
5,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user5@example.com,0,2025-11-15,,1
6,Aswan View Branch,Aswan - High Dam District,unknown,user6@example.com,412,2025-11-15,,1
7,Luxor Nile Branch,Luxor - Nile Corniche,unknown,user7@example.com,0,2025-11-15,,1
8,Aswan View Branch,Aswan - High Dam District,2.01014E+11,unknown,412,2025-11-15,,1
9,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
10,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,204,2025-11-15,,1
11,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user11@example.com,0,2025-11-15,,1
12,Alex Seaside Branch,Alexandria - Corniche,2.01068E+11,unknown,0,2025-11-15,,1
13,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
14,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user14@example.com,411,2025-11-15,,1
15,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,204,2025-11-15,,1
16,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,110,2025-11-15,,1
17,Luxor Nile Branch,Luxor - Nile Corniche,unknown,user17@example.com,102,2025-11-15,,1
18,Aswan View Branch,Aswan - High Dam District,unknown,user18@example.com,412,2025-11-15,,1
19,Alex Seaside Branch,Alexandria - Corniche,2.01015E+11,unknown,0,2025-11-15,,1
20,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,483,2025-11-15,,1
21,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
22,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user22@example.com,178,2025-11-15,,1
23,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user23@example.com,0,2025-11-15,,1
24,Alex Seaside Branch,Alexandria - Corniche,unknown,user24@example.com,0,2025-11-15,,1
